a0,a1,a2,a3,a4,a5,a6,a7
501,10.0,1496720281530.0,0,0,1.0,12.9802,77.6975
502,10.0,1496720281631.0,0,0,1.0,12.9802,77.6975
503,10.0,1496720281723.0,0,0,1.0,12.9802,77.6975
504,10.0,1496720281791.0,0,0,1.0,12.9802,77.6975
505,10.0,1496720281848.0,0,0,1.0,12.9802,77.6975
506,10.0,1496720281899.0,0,0,1.0,12.9802,77.6975
507,10.0,1496720281958.0,0,0,1.0,12.9802,77.6975
508,10.0,1496720282018.0,0,0,1.0,12.9802,77.6975
509,10.0,1496720282065.0,0,0,1.0,12.9802,77.6975
510,10.0,1496720282130.0,0,0,1.0,12.9802,77.6975
511,10.0,1496720282203.0,0,0,1.0,12.9802,77.6975
512,10.0,1496720282280.0,0,0,1.0,12.9802,77.6975
513,10.0,1496720282361.0,0,0,1.0,12.9802,77.6975
514,10.0,1496720282458.0,0,0,1.0,12.9802,77.6975
515,10.0,1496720282528.0,0,0,1.0,12.9802,77.6975
516,10.0,1496720282605.0,0,0,1.0,12.9802,77.6975
517,10.0,1496720282676.0,0,0,1.0,12.9802,77.6975
518,10.0,1496720282741.0,0,0,1.0,12.9802,77.6975
519,10.0,1496720282806.0,0,0,1.0,12.9802,77.6975
520,10.0,1496720282859.0,0,0,1.0,12.9802,77.6975
521,10.0,1496720282912.0,0,0,1.0,12.9802,77.6975
522,10.0,1496720282960.0,0,0,1.0,12.9802,77.6975
523,10.0,1496720283012.0,0,0,1.0,12.9802,77.6975
524,10.0,1496720283062.0,0,0,1.0,12.9802,77.6975
525,10.0,1496720283115.0,0,0,1.0,12.9802,77.6975
526,10.0,1496720283166.0,0,0,1.0,12.9802,77.6975
527,10.0,1496720283218.0,0,0,1.0,12.9802,77.6975
528,10.0,1496720283268.0,0,0,1.0,12.9802,77.6975
529,10.0,1496720283319.0,0,0,1.0,12.9802,77.6975
530,10.0,1496720283372.0,0,0,1.0,12.9802,77.6975
531,10.0,1496720283423.0,0,0,1.0,12.9802,77.6975
532,10.0,1496720283474.0,0,0,1.0,12.9802,77.6975
